file,contrast_Lc,contrast_status,clarity_score,clarity_status,overall_status
sample_435.jpg,0.0,fail,0.0,fail,fail
sample_436.jpg,0.0,fail,0.22,fail,fail
sample_437.jpg,0.0,fail,62.37,pass,fail
sample_438.jpg,16.76,fail,2.15,fail,fail
sample_439.jpg,13.01,fail,0.0,fail,fail
sample_440.jpg,0.0,fail,0.0,fail,fail
sample_441.jpg,0.0,fail,0.0,fail,fail
sample_442.jpg,21.29,fail,5.35,fail,fail
sample_443.jpg,7.58,fail,4.41,fail,fail
sample_444.jpg,0.0,fail,21.45,fail,fail
sample_445.jpg,40.27,pass,3.0,fail,fail
sample_446.jpg,11.2,fail,4.5,fail,fail
sample_447.jpg,0.0,fail,62.35,pass,fail
sample_448.jpg,16.9,fail,3.01,fail,fail
sample_449.jpg,2.46,fail,0.0,fail,fail
sample_450.jpg,0.0,fail,0.0,fail,fail
sample_451.jpg,0.0,fail,0.0,fail,fail
sample_452.jpg,0.0,fail,0.0,fail,fail
sample_453.jpg,0.0,fail,81.56,pass,fail
sample_454.jpg,59.4,pass,13.05,fail,fail
sample_455.jpg,0.0,fail,0.0,fail,fail
sample_456.jpg,31.82,pass,1.43,fail,fail
sample_457.jpg,21.61,fail,67.75,pass,fail
sample_458.jpg,-0.74,fail,0.0,fail,fail
sample_459.jpg,19.32,fail,0.53,fail,fail
sample_460.jpg,0.0,fail,58.17,pass,fail
sample_461.jpg,0.0,fail,0.0,fail,fail
sample_462.jpg,0.0,fail,0.0,fail,fail
sample_463.jpg,0.0,fail,62.41,pass,fail
sample_464.jpg,63.94,pass,12.53,fail,fail
sample_465.jpg,0.0,fail,0.0,fail,fail
sample_466.jpg,0.0,fail,31.33,pass,fail
sample_467.jpg,0.0,fail,0.11,fail,fail
sample_468.jpg,47.4,pass,1.26,fail,fail
sample_469.jpg,0.0,fail,0.0,fail,fail
sample_470.jpg,0.0,fail,0.0,fail,fail
sample_471.jpg,39.78,pass,3.0,fail,fail
sample_472.jpg,24.75,fail,8.07,fail,fail
sample_473.jpg,34.47,pass,11.45,fail,fail
sample_474.jpg,37.86,pass,5.74,fail,fail
sample_475.jpg,0.0,fail,0.0,fail,fail
sample_476.jpg,8.96,fail,0.06,fail,fail
sample_477.jpg,0.0,fail,67.77,pass,fail
sample_478.jpg,0.0,fail,0.0,fail,fail
sample_479.jpg,0.0,fail,0.0,fail,fail
sample_480.jpg,0.0,fail,67.9,pass,fail
sample_481.jpg,0.0,fail,0.0,fail,fail
sample_482.jpg,28.0,pass,7.43,fail,fail
